true_class,predicted_class,count,true_class_total,row_proportion,row_percentage
A,A,31,33,0.9393939394,93.93939394
A,B,0,33,0,0
A,C,0,33,0,0
A,D,0,33,0,0
A,E,0,33,0,0
A,F,0,33,0,0
A,G,0,33,0,0
A,H,1,33,0.0303030303,3.03030303
A,I,0,33,0,0
A,J,0,33,0,0
A,K,0,33,0,0
A,L,0,33,0,0
A,M,0,33,0,0
A,N,0,33,0,0
A,O,0,33,0,0
A,P,0,33,0,0
A,Q,0,33,0,0
A,R,0,33,0,0
A,S,0,33,0,0
A,T,0,33,0,0
A,U,0,33,0,0
A,V,0,33,0,0
A,W,0,33,0,0
A,X,0,33,0,0
A,Y,0,33,0,0
A,Z,0,33,0,0
A,1,0,33,0,0
A,2,0,33,0,0
A,3,0,33,0,0
A,4,1,33,0.0303030303,3.03030303
A,5,0,33,0,0
A,6,0,33,0,0
A,7,0,33,0,0
A,8,0,33,0,0
A,9,0,33,0,0
B,A,0,33,0,0
B,B,31,33,0.9393939394,93.93939394
B,C,0,33,0,0
B,D,0,33,0,0
B,E,0,33,0,0
B,F,0,33,0,0
B,G,0,33,0,0
B,H,0,33,0,0
B,I,0,33,0,0
B,J,0,33,0,0
B,K,0,33,0,0
B,L,0,33,0,0
B,M,0,33,0,0
B,N,0,33,0,0
B,O,0,33,0,0
B,P,0,33,0,0
B,Q,0,33,0,0
B,R,1,33,0.0303030303,3.03030303
B,S,0,33,0,0
B,T,0,33,0,0
B,U,0,33,0,0
B,V,0,33,0,0
B,W,0,33,0,0
B,X,0,33,0,0
B,Y,0,33,0,0
B,Z,0,33,0,0
B,1,0,33,0,0
B,2,0,33,0,0
B,3,1,33,0.0303030303,3.03030303
B,4,0,33,0,0
B,5,0,33,0,0
B,6,0,33,0,0
B,7,0,33,0,0
B,8,0,33,0,0
B,9,0,33,0,0
C,A,0,33,0,0
C,B,0,33,0,0
C,C,31,33,0.9393939394,93.93939394
C,D,0,33,0,0
C,E,0,33,0,0
C,F,0,33,0,0
C,G,0,33,0,0
C,H,0,33,0,0
C,I,0,33,0,0
C,J,0,33,0,0
C,K,0,33,0,0
C,L,0,33,0,0
C,M,0,33,0,0
C,N,0,33,0,0
C,O,1,33,0.0303030303,3.03030303
C,P,0,33,0,0
C,Q,0,33,0,0
C,R,0,33,0,0
C,S,0,33,0,0
C,T,0,33,0,0
C,U,0,33,0,0
C,V,0,33,0,0
C,W,0,33,0,0
C,X,0,33,0,0
C,Y,0,33,0,0
C,Z,0,33,0,0
C,1,0,33,0,0
C,2,0,33,0,0
C,3,0,33,0,0
C,4,0,33,0,0
C,5,0,33,0,0
C,6,1,33,0.0303030303,3.03030303
C,7,0,33,0,0
C,8,0,33,0,0
C,9,0,33,0,0
D,A,0,33,0,0
D,B,0,33,0,0
D,C,0,33,0,0
D,D,33,33,1,100
D,E,0,33,0,0
D,F,0,33,0,0
D,G,0,33,0,0
D,H,0,33,0,0
D,I,0,33,0,0
D,J,0,33,0,0
D,K,0,33,0,0
D,L,0,33,0,0
D,M,0,33,0,0
D,N,0,33,0,0
D,O,0,33,0,0
D,P,0,33,0,0
D,Q,0,33,0,0
D,R,0,33,0,0
D,S,0,33,0,0
D,T,0,33,0,0
D,U,0,33,0,0
D,V,0,33,0,0
D,W,0,33,0,0
D,X,0,33,0,0
D,Y,0,33,0,0
D,Z,0,33,0,0
D,1,0,33,0,0
D,2,0,33,0,0
D,3,0,33,0,0
D,4,0,33,0,0
D,5,0,33,0,0
D,6,0,33,0,0
D,7,0,33,0,0
D,8,0,33,0,0
D,9,0,33,0,0
E,A,0,33,0,0
E,B,0,33,0,0
E,C,0,33,0,0
E,D,0,33,0,0
E,E,31,33,0.9393939394,93.93939394
E,F,0,33,0,0
E,G,1,33,0.0303030303,3.03030303
E,H,0,33,0,0
E,I,0,33,0,0
E,J,0,33,0,0
E,K,0,33,0,0
E,L,0,33,0,0
E,M,0,33,0,0
E,N,0,33,0,0
E,O,0,33,0,0
E,P,0,33,0,0
E,Q,0,33,0,0
E,R,1,33,0.0303030303,3.03030303
E,S,0,33,0,0
E,T,0,33,0,0
E,U,0,33,0,0
E,V,0,33,0,0
E,W,0,33,0,0
E,X,0,33,0,0
E,Y,0,33,0,0
E,Z,0,33,0,0
E,1,0,33,0,0
E,2,0,33,0,0
E,3,0,33,0,0
E,4,0,33,0,0
E,5,0,33,0,0
E,6,0,33,0,0
E,7,0,33,0,0
E,8,0,33,0,0
E,9,0,33,0,0
F,A,0,33,0,0
F,B,0,33,0,0
F,C,0,33,0,0
F,D,0,33,0,0
F,E,0,33,0,0
F,F,32,33,0.9696969697,96.96969697
F,G,0,33,0,0
F,H,0,33,0,0
F,I,0,33,0,0
F,J,0,33,0,0
F,K,0,33,0,0
F,L,0,33,0,0
F,M,0,33,0,0
F,N,0,33,0,0
F,O,0,33,0,0
F,P,1,33,0.0303030303,3.03030303
F,Q,0,33,0,0
F,R,0,33,0,0
F,S,0,33,0,0
F,T,0,33,0,0
F,U,0,33,0,0
F,V,0,33,0,0
F,W,0,33,0,0
F,X,0,33,0,0
F,Y,0,33,0,0
F,Z,0,33,0,0
F,1,0,33,0,0
F,2,0,33,0,0
F,3,0,33,0,0
F,4,0,33,0,0
F,5,0,33,0,0
F,6,0,33,0,0
F,7,0,33,0,0
F,8,0,33,0,0
F,9,0,33,0,0
G,A,0,33,0,0
G,B,0,33,0,0
G,C,0,33,0,0
G,D,0,33,0,0
G,E,0,33,0,0
G,F,0,33,0,0
G,G,30,33,0.9090909091,90.90909091
G,H,0,33,0,0
G,I,0,33,0,0
G,J,0,33,0,0
G,K,0,33,0,0
G,L,0,33,0,0
G,M,0,33,0,0
G,N,0,33,0,0
G,O,0,33,0,0
G,P,0,33,0,0
G,Q,0,33,0,0
G,R,0,33,0,0
G,S,0,33,0,0
G,T,0,33,0,0
G,U,0,33,0,0
G,V,0,33,0,0
G,W,0,33,0,0
G,X,0,33,0,0
G,Y,0,33,0,0
G,Z,0,33,0,0
G,1,0,33,0,0
G,2,0,33,0,0
G,3,0,33,0,0
G,4,0,33,0,0
G,5,0,33,0,0
G,6,2,33,0.06060606061,6.060606061
G,7,0,33,0,0
