true_class,predicted_class,count,true_class_total,row_proportion,row_percentage
A,A,27,33,0.8181818182,81.81818182
A,B,0,33,0,0
A,C,0,33,0,0
A,D,0,33,0,0
A,E,0,33,0,0
A,F,0,33,0,0
A,G,0,33,0,0
A,H,0,33,0,0
A,I,0,33,0,0
A,J,0,33,0,0
A,K,0,33,0,0
A,L,0,33,0,0
A,M,2,33,0.06060606061,6.060606061
A,N,0,33,0,0
A,O,0,33,0,0
A,P,0,33,0,0
A,Q,0,33,0,0
A,R,2,33,0.06060606061,6.060606061
A,S,0,33,0,0
A,T,0,33,0,0
A,U,0,33,0,0
A,V,0,33,0,0
A,W,0,33,0,0
A,X,0,33,0,0
A,Y,0,33,0,0
A,Z,0,33,0,0
A,1,0,33,0,0
A,2,0,33,0,0
A,3,0,33,0,0
A,4,1,33,0.0303030303,3.03030303
A,5,0,33,0,0
A,6,1,33,0.0303030303,3.03030303
A,7,0,33,0,0
A,8,0,33,0,0
A,9,0,33,0,0
B,A,0,33,0,0
B,B,19,33,0.5757575758,57.57575758
B,C,0,33,0,0
B,D,4,33,0.1212121212,12.12121212
B,E,1,33,0.0303030303,3.03030303
B,F,1,33,0.0303030303,3.03030303
B,G,1,33,0.0303030303,3.03030303
B,H,1,33,0.0303030303,3.03030303
B,I,0,33,0,0
B,J,0,33,0,0
B,K,0,33,0,0
B,L,0,33,0,0
B,M,0,33,0,0
B,N,0,33,0,0
B,O,0,33,0,0
B,P,3,33,0.09090909091,9.090909091
B,Q,0,33,0,0
B,R,2,33,0.06060606061,6.060606061
B,S,0,33,0,0
B,T,0,33,0,0
B,U,0,33,0,0
B,V,0,33,0,0
B,W,1,33,0.0303030303,3.03030303
B,X,0,33,0,0
B,Y,0,33,0,0
B,Z,0,33,0,0
B,1,0,33,0,0
B,2,0,33,0,0
B,3,0,33,0,0
B,4,0,33,0,0
B,5,0,33,0,0
B,6,0,33,0,0
B,7,0,33,0,0
B,8,0,33,0,0
B,9,0,33,0,0
C,A,0,33,0,0
C,B,0,33,0,0
C,C,18,33,0.5454545455,54.54545455
C,D,0,33,0,0
C,E,0,33,0,0
C,F,0,33,0,0
C,G,0,33,0,0
C,H,0,33,0,0
C,I,1,33,0.0303030303,3.03030303
C,J,0,33,0,0
C,K,0,33,0,0
C,L,1,33,0.0303030303,3.03030303
C,M,0,33,0,0
C,N,0,33,0,0
C,O,6,33,0.1818181818,18.18181818
C,P,0,33,0,0
C,Q,0,33,0,0
C,R,0,33,0,0
C,S,0,33,0,0
C,T,0,33,0,0
C,U,0,33,0,0
C,V,0,33,0,0
C,W,0,33,0,0
C,X,0,33,0,0
C,Y,0,33,0,0
C,Z,0,33,0,0
C,1,0,33,0,0
C,2,1,33,0.0303030303,3.03030303
C,3,0,33,0,0
C,4,2,33,0.06060606061,6.060606061
C,5,0,33,0,0
C,6,4,33,0.1212121212,12.12121212
C,7,0,33,0,0
C,8,0,33,0,0
C,9,0,33,0,0
D,A,0,33,0,0
D,B,5,33,0.1515151515,15.15151515
D,C,0,33,0,0
D,D,26,33,0.7878787879,78.78787879
D,E,0,33,0,0
D,F,1,33,0.0303030303,3.03030303
D,G,0,33,0,0
D,H,0,33,0,0
D,I,0,33,0,0
D,J,0,33,0,0
D,K,0,33,0,0
D,L,0,33,0,0
D,M,0,33,0,0
D,N,0,33,0,0
D,O,0,33,0,0
D,P,0,33,0,0
D,Q,0,33,0,0
D,R,0,33,0,0
D,S,0,33,0,0
D,T,0,33,0,0
D,U,0,33,0,0
D,V,0,33,0,0
D,W,0,33,0,0
D,X,1,33,0.0303030303,3.03030303
D,Y,0,33,0,0
D,Z,0,33,0,0
D,1,0,33,0,0
D,2,0,33,0,0
D,3,0,33,0,0
D,4,0,33,0,0
D,5,0,33,0,0
D,6,0,33,0,0
D,7,0,33,0,0
D,8,0,33,0,0
D,9,0,33,0,0
E,A,0,33,0,0
E,B,0,33,0,0
E,C,0,33,0,0
E,D,1,33,0.0303030303,3.03030303
E,E,11,33,0.3333333333,33.33333333
E,F,1,33,0.0303030303,3.03030303
E,G,1,33,0.0303030303,3.03030303
E,H,0,33,0,0
E,I,2,33,0.06060606061,6.060606061
E,J,1,33,0.0303030303,3.03030303
E,K,1,33,0.0303030303,3.03030303
E,L,3,33,0.09090909091,9.090909091
E,M,0,33,0,0
E,N,0,33,0,0
E,O,1,33,0.0303030303,3.03030303
E,P,0,33,0,0
E,Q,1,33,0.0303030303,3.03030303
E,R,0,33,0,0
E,S,0,33,0,0
E,T,0,33,0,0
E,U,0,33,0,0
E,V,0,33,0,0
E,W,0,33,0,0
E,X,1,33,0.0303030303,3.03030303
E,Y,0,33,0,0
E,Z,0,33,0,0
E,1,2,33,0.06060606061,6.060606061
E,2,1,33,0.0303030303,3.03030303
E,3,0,33,0,0
E,4,0,33,0,0
E,5,3,33,0.09090909091,9.090909091
E,6,0,33,0,0
E,7,0,33,0,0
E,8,2,33,0.06060606061,6.060606061
E,9,1,33,0.0303030303,3.03030303
F,A,0,33,0,0
F,B,0,33,0,0
F,C,0,33,0,0
F,D,0,33,0,0
F,E,0,33,0,0
F,F,17,33,0.5151515152,51.51515152
F,G,0,33,0,0
F,H,0,33,0,0
F,I,0,33,0,0
F,J,0,33,0,0
F,K,1,33,0.0303030303,3.03030303
F,L,0,33,0,0
F,M,0,33,0,0
F,N,0,33,0,0
F,O,0,33,0,0
F,P,12,33,0.3636363636,36.36363636
F,Q,0,33,0,0
F,R,0,33,0,0
F,S,0,33,0,0
F,T,1,33,0.0303030303,3.03030303
F,U,0,33,0,0
F,V,0,33,0,0
F,W,0,33,0,0
F,X,0,33,0,0
F,Y,0,33,0,0
F,Z,0,33,0,0
F,1,0,33,0,0
