class,spike_encoded_samples,spike_encoded_correct,spike_encoded_accuracy,spike_encoded_accuracy_percent,raw_pressure_samples,raw_pressure_correct,raw_pressure_accuracy,raw_pressure_accuracy_percent
A,33,31,0.9393939394,93.93939394,33,27,0.8181818182,81.81818182
B,33,31,0.9393939394,93.93939394,33,19,0.5757575758,57.57575758
C,33,31,0.9393939394,93.93939394,33,18,0.5454545455,54.54545455
D,33,33,1,100,33,26,0.7878787879,78.78787879
E,33,31,0.9393939394,93.93939394,33,11,0.3333333333,33.33333333
F,33,32,0.9696969697,96.96969697,33,17,0.5151515152,51.51515152
G,33,30,0.9090909091,90.90909091,33,9,0.2727272727,27.27272727
H,33,30,0.9090909091,90.90909091,33,23,0.696969697,69.6969697
I,33,31,0.9393939394,93.93939394,33,26,0.7878787879,78.78787879
J,33,32,0.9696969697,96.96969697,33,18,0.5454545455,54.54545455
K,33,32,0.9696969697,96.96969697,33,20,0.6060606061,60.60606061
L,33,31,0.9393939394,93.93939394,33,30,0.9090909091,90.90909091
M,33,27,0.8181818182,81.81818182,33,13,0.3939393939,39.39393939
N,33,26,0.7878787879,78.78787879,33,12,0.3636363636,36.36363636
O,33,31,0.9393939394,93.93939394,33,26,0.7878787879,78.78787879
P,33,31,0.9393939394,93.93939394,33,26,0.7878787879,78.78787879
Q,33,31,0.9393939394,93.93939394,33,19,0.5757575758,57.57575758
R,33,31,0.9393939394,93.93939394,33,11,0.3333333333,33.33333333
S,33,32,0.9696969697,96.96969697,33,15,0.4545454545,45.45454545
T,33,31,0.9393939394,93.93939394,33,26,0.7878787879,78.78787879
U,33,31,0.9393939394,93.93939394,33,24,0.7272727273,72.72727273
V,33,29,0.8787878788,87.87878788,33,25,0.7575757576,75.75757576
W,33,27,0.8181818182,81.81818182,33,26,0.7878787879,78.78787879
X,33,31,0.9393939394,93.93939394,33,27,0.8181818182,81.81818182
Y,33,33,1,100,33,23,0.696969697,69.6969697
Z,33,30,0.9090909091,90.90909091,33,22,0.6666666667,66.66666667
1,33,28,0.8484848485,84.84848485,33,22,0.6666666667,66.66666667
2,33,30,0.9090909091,90.90909091,33,22,0.6666666667,66.66666667
3,33,31,0.9393939394,93.93939394,33,15,0.4545454545,45.45454545
4,33,30,0.9090909091,90.90909091,33,24,0.7272727273,72.72727273
5,33,31,0.9393939394,93.93939394,33,10,0.303030303,30.3030303
6,33,31,0.9393939394,93.93939394,33,13,0.3939393939,39.39393939
7,33,30,0.9090909091,90.90909091,33,24,0.7272727273,72.72727273
8,33,31,0.9393939394,93.93939394,33,7,0.2121212121,21.21212121
9,33,32,0.9696969697,96.96969697,33,26,0.7878787879,78.78787879
