dataset,split,epoch,accuracy,accuracy_percent,plotted_as_test_marker
Spike-Encoded,Train,1,0.05918367347,5.918367347,False
Spike-Encoded,Train,2,0.1371057514,13.71057514,False
Spike-Encoded,Train,3,0.2294990724,22.94990724,False
Spike-Encoded,Train,4,0.3217068646,32.17068646,False
Spike-Encoded,Train,5,0.3016697588,30.16697588,False
Spike-Encoded,Train,6,0.3443413729,34.43413729,False
Spike-Encoded,Train,7,0.3974025974,39.74025974,False
Spike-Encoded,Train,8,0.500742115,50.0742115,False
Spike-Encoded,Train,9,0.6059369202,60.59369202,False
Spike-Encoded,Train,10,0.6749536178,67.49536178,False
Spike-Encoded,Train,11,0.7222634508,72.22634508,False
Spike-Encoded,Train,12,0.7558441558,75.58441558,False
Spike-Encoded,Train,13,0.7892393321,78.92393321,False
Spike-Encoded,Train,14,0.8100185529,81.00185529,False
Spike-Encoded,Train,15,0.8092764378,80.92764378,False
Spike-Encoded,Train,16,0.8339517625,83.39517625,False
Spike-Encoded,Train,17,0.847309833,84.7309833,False
Spike-Encoded,Train,18,0.8452690167,84.52690167,False
Spike-Encoded,Train,19,0.8701298701,87.01298701,False
Spike-Encoded,Train,20,0.8723562152,87.23562152,False
Spike-Encoded,Train,21,0.8842300557,88.42300557,False
Spike-Encoded,Train,22,0.8940630798,89.40630798,False
Spike-Encoded,Train,23,0.8961038961,89.61038961,False
Spike-Encoded,Train,24,0.8983302412,89.83302412,False
Spike-Encoded,Train,25,0.9077922078,90.77922078,False
Spike-Encoded,Train,26,0.9113172542,91.13172542,False
Spike-Encoded,Train,27,0.9217068646,92.17068646,False
Spike-Encoded,Train,28,0.9237476809,92.37476809,False
Spike-Encoded,Train,29,0.927458256,92.7458256,False
Spike-Encoded,Train,30,0.9256029685,92.56029685,False
Spike-Encoded,Train,31,0.9248608534,92.48608534,False
Spike-Encoded,Train,32,0.9309833024,93.09833024,False
Spike-Encoded,Train,33,0.9406307978,94.06307978,False
Spike-Encoded,Train,34,0.9441558442,94.41558442,False
Spike-Encoded,Train,35,0.9435992579,94.35992579,False
Spike-Encoded,Train,36,0.9447124304,94.47124304,False
Spike-Encoded,Train,37,0.9452690167,94.52690167,False
Spike-Encoded,Train,38,0.9482374768,94.82374768,False
Spike-Encoded,Train,39,0.9523191095,95.23191095,False
Spike-Encoded,Train,40,0.9576994434,95.76994434,False
Spike-Encoded,Train,41,0.9567717996,95.67717996,False
Spike-Encoded,Train,42,0.9638218924,96.38218924,False
Spike-Encoded,Train,43,0.9623376623,96.23376623,False
Spike-Encoded,Train,44,0.96716141,96.716141,False
Spike-Encoded,Train,45,0.9692022263,96.92022263,False
Spike-Encoded,Train,46,0.966419295,96.6419295,False
Spike-Encoded,Train,47,0.9667903525,96.67903525,False
Spike-Encoded,Train,48,0.9677179963,96.77179963,False
Spike-Encoded,Train,49,0.96716141,96.716141,False
Spike-Encoded,Train,50,0.973283859,97.3283859,False
Spike-Encoded,Train,51,0.9749536178,97.49536178,False
Spike-Encoded,Train,52,0.9697588126,96.97588126,False
Spike-Encoded,Train,53,0.9816326531,98.16326531,False
Spike-Encoded,Train,54,0.9768089054,97.68089054,False
Spike-Encoded,Train,55,0.9786641929,97.86641929,False
Spike-Encoded,Train,56,0.9795918367,97.95918367,False
Spike-Encoded,Train,57,0.9831168831,98.31168831,False
Spike-Encoded,Train,58,0.9844155844,98.44155844,False
Spike-Encoded,Train,59,0.980890538,98.0890538,False
Spike-Encoded,Train,60,0.9844155844,98.44155844,False
Spike-Encoded,Train,61,0.9795918367,97.95918367,False
Spike-Encoded,Train,62,0.9853432282,98.53432282,False
Spike-Encoded,Train,63,0.9864564007,98.64564007,False
Spike-Encoded,Train,64,0.9864564007,98.64564007,False
Spike-Encoded,Train,65,0.9890538033,98.90538033,False
Spike-Encoded,Train,66,0.9857142857,98.57142857,False
Spike-Encoded,Train,67,0.9883116883,98.83116883,False
Spike-Encoded,Train,68,0.9918367347,99.18367347,False
Spike-Encoded,Train,69,0.9896103896,98.96103896,False
Spike-Encoded,Train,70,0.9883116883,98.83116883,False
Spike-Encoded,Train,71,0.9925788497,99.25788497,False
Spike-Encoded,Train,72,0.9888682746,98.88682746,False
Spike-Encoded,Train,73,0.9922077922,99.22077922,False
Spike-Encoded,Train,74,0.9907235622,99.07235622,False
Spike-Encoded,Train,75,0.9912801484,99.12801484,False
Spike-Encoded,Train,76,0.9905380334,99.05380334,False
Spike-Encoded,Train,77,0.9916512059,99.16512059,False
Spike-Encoded,Train,78,0.9912801484,99.12801484,False
Spike-Encoded,Train,79,0.9925788497,99.25788497,False
Spike-Encoded,Train,80,0.9910946197,99.10946197,False
Spike-Encoded,Train,81,0.9933209647,99.33209647,False
Spike-Encoded,Train,82,0.9903525046,99.03525046,False
Spike-Encoded,Train,83,0.9935064935,99.35064935,False
Spike-Encoded,Train,84,0.9905380334,99.05380334,False
Spike-Encoded,Train,85,0.993877551,99.3877551,False
Spike-Encoded,Train,86,0.9922077922,99.22077922,False
Spike-Encoded,Train,87,0.9935064935,99.35064935,False
Spike-Encoded,Train,88,0.9949907236,99.49907236,False
Spike-Encoded,Train,89,0.9944341373,99.44341373,False
Spike-Encoded,Train,90,0.9922077922,99.22077922,False
Spike-Encoded,Train,91,0.9925788497,99.25788497,False
Spike-Encoded,Train,92,0.9935064935,99.35064935,False
Spike-Encoded,Train,93,0.9957328386,99.57328386,False
Spike-Encoded,Train,94,0.9948051948,99.48051948,False
Spike-Encoded,Train,95,0.9920222635,99.20222635,False
Spike-Encoded,Train,96,0.9936920223,99.36920223,False
Spike-Encoded,Train,97,0.9949907236,99.49907236,False
Spike-Encoded,Train,98,0.9927643785,99.27643785,False
Spike-Encoded,Train,99,0.9940630798,99.40630798,False
Spike-Encoded,Train,100,0.9953617811,99.53617811,False
Spike-Encoded,Val,1,0.08831168831,8.831168831,False
Spike-Encoded,Val,2,0.2138528139,21.38528139,False
Spike-Encoded,Val,3,0.3194805195,31.94805195,False
Spike-Encoded,Val,4,0.3645021645,36.45021645,False
Spike-Encoded,Val,5,0.3437229437,34.37229437,False
Spike-Encoded,Val,6,0.3645021645,36.45021645,False
Spike-Encoded,Val,7,0.4606060606,46.06060606,False
Spike-Encoded,Val,8,0.529004329,52.9004329,False
Spike-Encoded,Val,9,0.632034632,63.2034632,False
Spike-Encoded,Val,10,0.6632034632,66.32034632,False
Spike-Encoded,Val,11,0.7307359307,73.07359307,False
Spike-Encoded,Val,12,0.7627705628,76.27705628,False
Spike-Encoded,Val,13,0.787012987,78.7012987,False
Spike-Encoded,Val,14,0.812987013,81.2987013,False
Spike-Encoded,Val,15,0.8277056277,82.77056277,False
Spike-Encoded,Val,16,0.8424242424,84.24242424,False
Spike-Encoded,Val,17,0.8528138528,85.28138528,False
Spike-Encoded,Val,18,0.8623376623,86.23376623,False
Spike-Encoded,Val,19,0.8692640693,86.92640693,False
Spike-Encoded,Val,20,0.8493506494,84.93506494,False
Spike-Encoded,Val,21,0.8640692641,86.40692641,False
Spike-Encoded,Val,22,0.870995671,87.0995671,False
Spike-Encoded,Val,23,0.8640692641,86.40692641,False
Spike-Encoded,Val,24,0.8718614719,87.18614719,False
Spike-Encoded,Val,25,0.8909090909,89.09090909,False
Spike-Encoded,Val,26,0.89004329,89.004329,False
Spike-Encoded,Val,27,0.8952380952,89.52380952,False
Spike-Encoded,Val,28,0.8891774892,88.91774892,False
Spike-Encoded,Val,29,0.896969697,89.6969697,False
Spike-Encoded,Val,30,0.9064935065,90.64935065,False
Spike-Encoded,Val,31,0.8891774892,88.91774892,False
Spike-Encoded,Val,32,0.9021645022,90.21645022,False
Spike-Encoded,Val,33,0.9012987013,90.12987013,False
Spike-Encoded,Val,34,0.896969697,89.6969697,False
Spike-Encoded,Val,35,0.9082251082,90.82251082,False
Spike-Encoded,Val,36,0.9142857143,91.42857143,False
Spike-Encoded,Val,37,0.9125541126,91.25541126,False
Spike-Encoded,Val,38,0.9090909091,90.90909091,False
Spike-Encoded,Val,39,0.9125541126,91.25541126,False
Spike-Encoded,Val,40,0.929004329,92.9004329,False
Spike-Encoded,Val,41,0.9038961039,90.38961039,False
Spike-Encoded,Val,42,0.9203463203,92.03463203,False
Spike-Encoded,Val,43,0.9246753247,92.46753247,False
Spike-Encoded,Val,44,0.9246753247,92.46753247,False
Spike-Encoded,Val,45,0.9341991342,93.41991342,False
Spike-Encoded,Val,46,0.9229437229,92.29437229,False
Spike-Encoded,Val,47,0.929004329,92.9004329,False
Spike-Encoded,Val,48,0.9238095238,92.38095238,False
Spike-Encoded,Val,49,0.9281385281,92.81385281,False
Spike-Encoded,Val,50,0.9264069264,92.64069264,False
Spike-Encoded,Val,51,0.9307359307,93.07359307,False
Spike-Encoded,Val,52,0.9316017316,93.16017316,False
Spike-Encoded,Val,53,0.9324675325,93.24675325,False
Spike-Encoded,Val,54,0.9298701299,92.98701299,False
Spike-Encoded,Val,55,0.9298701299,92.98701299,False
Spike-Encoded,Val,56,0.9316017316,93.16017316,False
Spike-Encoded,Val,57,0.929004329,92.9004329,False
Spike-Encoded,Val,58,0.9307359307,93.07359307,False
Spike-Encoded,Val,59,0.9350649351,93.50649351,False
Spike-Encoded,Val,60,0.9333333333,93.33333333,False
Spike-Encoded,Val,61,0.9341991342,93.41991342,False
Spike-Encoded,Val,62,0.9281385281,92.81385281,False
