dataset,split,epoch,loss,plotted_as_test_marker
Spike-Encoded,Train,1,3.50645111,False
Spike-Encoded,Train,2,3.133287917,False
Spike-Encoded,Train,3,2.706298738,False
Spike-Encoded,Train,4,2.408754276,False
Spike-Encoded,Train,5,2.506847171,False
Spike-Encoded,Train,6,2.2570972,False
Spike-Encoded,Train,7,2.066173071,False
Spike-Encoded,Train,8,1.622280844,False
Spike-Encoded,Train,9,1.304461387,False
Spike-Encoded,Train,10,1.064147202,False
Spike-Encoded,Train,11,0.9039908613,False
Spike-Encoded,Train,12,0.780890991,False
Spike-Encoded,Train,13,0.6844809905,False
Spike-Encoded,Train,14,0.6119475809,False
Spike-Encoded,Train,15,0.6028401844,False
Spike-Encoded,Train,16,0.5453158971,False
Spike-Encoded,Train,17,0.4933557061,False
Spike-Encoded,Train,18,0.4774895097,False
Spike-Encoded,Train,19,0.4096393875,False
Spike-Encoded,Train,20,0.4007664838,False
Spike-Encoded,Train,21,0.3528438986,False
Spike-Encoded,Train,22,0.341992029,False
Spike-Encoded,Train,23,0.3232483476,False
Spike-Encoded,Train,24,0.3052328531,False
Spike-Encoded,Train,25,0.2802792806,False
Spike-Encoded,Train,26,0.2659296096,False
Spike-Encoded,Train,27,0.2347025289,False
Spike-Encoded,Train,28,0.2323345234,False
Spike-Encoded,Train,29,0.2150469665,False
Spike-Encoded,Train,30,0.2235320535,False
Spike-Encoded,Train,31,0.2216495436,False
Spike-Encoded,Train,32,0.1971017926,False
Spike-Encoded,Train,33,0.1810820797,False
Spike-Encoded,Train,34,0.1729430133,False
Spike-Encoded,Train,35,0.1708831391,False
Spike-Encoded,Train,36,0.1613758094,False
Spike-Encoded,Train,37,0.1584164763,False
Spike-Encoded,Train,38,0.1548148812,False
Spike-Encoded,Train,39,0.1442657188,False
Spike-Encoded,Train,40,0.1344214388,False
Spike-Encoded,Train,41,0.1280546114,False
Spike-Encoded,Train,42,0.1134126285,False
Spike-Encoded,Train,43,0.1063173878,False
Spike-Encoded,Train,44,0.09745756301,False
Spike-Encoded,Train,45,0.09411517481,False
Spike-Encoded,Train,46,0.1012622161,False
Spike-Encoded,Train,47,0.09746120927,False
Spike-Encoded,Train,48,0.09007054826,False
Spike-Encoded,Train,49,0.08781065649,False
Spike-Encoded,Train,50,0.08425358647,False
Spike-Encoded,Train,51,0.07671105096,False
Spike-Encoded,Train,52,0.078953255,False
Spike-Encoded,Train,53,0.05767196627,False
Spike-Encoded,Train,54,0.0724130266,False
Spike-Encoded,Train,55,0.06364794786,False
Spike-Encoded,Train,56,0.06518602247,False
Spike-Encoded,Train,57,0.05442385983,False
Spike-Encoded,Train,58,0.05447516786,False
Spike-Encoded,Train,59,0.06081207785,False
Spike-Encoded,Train,60,0.05211973173,False
Spike-Encoded,Train,61,0.06062571113,False
Spike-Encoded,Train,62,0.04865196667,False
Spike-Encoded,Train,63,0.04624255858,False
Spike-Encoded,Train,64,0.04386899591,False
Spike-Encoded,Train,65,0.03731547906,False
Spike-Encoded,Train,66,0.04540507471,False
Spike-Encoded,Train,67,0.03841260864,False
Spike-Encoded,Train,68,0.03609322458,False
Spike-Encoded,Train,69,0.03577518782,False
Spike-Encoded,Train,70,0.03625900467,False
Spike-Encoded,Train,71,0.0293901716,False
Spike-Encoded,Train,72,0.03429741798,False
Spike-Encoded,Train,73,0.02893064425,False
Spike-Encoded,Train,74,0.0302041643,False
Spike-Encoded,Train,75,0.02890208002,False
Spike-Encoded,Train,76,0.03122281727,False
Spike-Encoded,Train,77,0.0284268381,False
Spike-Encoded,Train,78,0.02867754651,False
Spike-Encoded,Train,79,0.02711427933,False
Spike-Encoded,Train,80,0.02918143476,False
Spike-Encoded,Train,81,0.02444579172,False
Spike-Encoded,Train,82,0.02840965993,False
Spike-Encoded,Train,83,0.02604482506,False
Spike-Encoded,Train,84,0.02831848088,False
Spike-Encoded,Train,85,0.02377611206,False
Spike-Encoded,Train,86,0.0281309195,False
Spike-Encoded,Train,87,0.02376072022,False
Spike-Encoded,Train,88,0.02170763175,False
Spike-Encoded,Train,89,0.0223746206,False
Spike-Encoded,Train,90,0.02503363162,False
Spike-Encoded,Train,91,0.02198449809,False
Spike-Encoded,Train,92,0.02156080625,False
