true_label,pred_A,pred_B,pred_C,pred_D,pred_E,pred_F,pred_G,pred_H,pred_I,pred_J,pred_K,pred_L,pred_M,pred_N,pred_O,pred_P,pred_Q,pred_R,pred_S,pred_T,pred_U,pred_V,pred_W,pred_X,pred_Y,pred_Z,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9
A,27,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
B,0,19,0,4,1,1,1,1,0,0,0,0,0,0,0,3,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
C,0,0,18,0,0,0,0,0,1,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,4,0,0,0
D,0,5,0,26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
E,0,0,0,1,11,1,1,0,2,1,1,3,0,0,1,0,1,0,0,0,0,0,0,1,0,0,2,1,0,0,3,0,0,2,1
F,0,0,0,0,0,17,0,0,0,0,1,0,0,0,0,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
G,1,0,1,0,0,1,9,0,0,0,0,0,1,0,2,0,11,0,0,0,0,0,0,1,0,0,0,0,0,2,1,2,0,0,1
H,0,0,0,0,0,0,0,23,0,0,2,0,0,3,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1
I,0,0,0,0,2,0,0,0,26,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
J,0,0,0,0,0,0,1,0,6,18,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,2,1,0,0
K,0,1,0,0,1,1,0,2,0,0,20,1,0,0,0,2,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
L,1,0,1,0,0,0,0,0,1,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,3,1,0,1,0,0,0,8,0,0,1,0,13,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
N,2,0,0,1,1,0,0,4,0,0,0,0,4,12,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,2,0,0,0,0,0
O,0,1,0,0,0,0,1,0,0,0,0,0,0,0,26,0,2,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
P,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,26,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
Q,0,1,0,0,0,0,5,0,0,0,0,1,1,0,3,0,19,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
R,4,2,0,0,0,0,0,0,0,0,7,1,5,1,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
S,0,0,0,0,1,0,3,0,0,3,0,0,0,0,1,0,1,0,15,0,0,0,0,0,0,1,1,3,4,0,0,0,0,0,0
T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,2,0,0,0,0,1,0,0,4,0,0
U,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,24,1,4,1,0,0,0,0,0,0,0,1,0,0,0
V,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,3,0,2,0,0,0,0,0,0,0,1,0,0
W,0,0,0,1,0,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0,1,0,26,0,0,0,0,0,0,0,0,0,0,0,0
X,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,27,1,0,0,0,1,0,0,0,0,0,0
Y,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,23,0,0,0,0,0,1,0,1,1,1
Z,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,22,0,5,0,0,1,0,0,0,2
1,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,3,0,0,1,1,0,0,0,0,1,0,22,1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,4,0,22,1,1,1,0,0,0,0
3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,1,1,15,1,0,2,1,1,2
4,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,2,0,0,1
5,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,2,0,4,0,0,0,2,1,0,1,1,0,1,1,10,1,1,4,1
6,0,0,1,0,1,0,10,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,13,0,0,1
7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,3,0,0,0,0,0,0,0,24,0,1
8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,0,0,0,1,0,1,0,1,2,0,7,1,0,7,3
9,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,26
