label_index,label,samples,correct,accuracy
0,A,33,27,0.8181818181818182
1,B,33,19,0.5757575757575758
2,C,33,18,0.5454545454545454
3,D,33,26,0.7878787878787878
4,E,33,11,0.3333333333333333
5,F,33,17,0.5151515151515151
6,G,33,9,0.2727272727272727
7,H,33,23,0.696969696969697
8,I,33,26,0.7878787878787878
9,J,33,18,0.5454545454545454
10,K,33,20,0.6060606060606061
11,L,33,30,0.9090909090909091
12,M,33,13,0.3939393939393939
13,N,33,12,0.36363636363636365
14,O,33,26,0.7878787878787878
15,P,33,26,0.7878787878787878
16,Q,33,19,0.5757575757575758
17,R,33,11,0.3333333333333333
18,S,33,15,0.45454545454545453
19,T,33,26,0.7878787878787878
20,U,33,24,0.7272727272727273
21,V,33,25,0.7575757575757576
22,W,33,26,0.7878787878787878
23,X,33,27,0.8181818181818182
24,Y,33,23,0.696969696969697
25,Z,33,22,0.6666666666666666
26,1,33,22,0.6666666666666666
27,2,33,22,0.6666666666666666
28,3,33,15,0.45454545454545453
29,4,33,24,0.7272727272727273
30,5,33,10,0.30303030303030304
31,6,33,13,0.3939393939393939
32,7,33,24,0.7272727272727273
33,8,33,7,0.21212121212121213
34,9,33,26,0.7878787878787878
