label_index,label,samples,correct,accuracy
0,A,33,31,0.9393939393939394
1,B,33,31,0.9393939393939394
2,C,33,31,0.9393939393939394
3,D,33,33,1.0
4,E,33,31,0.9393939393939394
5,F,33,32,0.9696969696969697
6,G,33,30,0.9090909090909091
7,H,33,30,0.9090909090909091
8,I,33,31,0.9393939393939394
9,J,33,32,0.9696969696969697
10,K,33,32,0.9696969696969697
11,L,33,31,0.9393939393939394
12,M,33,27,0.8181818181818182
13,N,33,26,0.7878787878787878
14,O,33,31,0.9393939393939394
15,P,33,31,0.9393939393939394
16,Q,33,31,0.9393939393939394
17,R,33,31,0.9393939393939394
18,S,33,32,0.9696969696969697
19,T,33,31,0.9393939393939394
20,U,33,31,0.9393939393939394
21,V,33,29,0.8787878787878788
22,W,33,27,0.8181818181818182
23,X,33,31,0.9393939393939394
24,Y,33,33,1.0
25,Z,33,30,0.9090909090909091
26,1,33,28,0.8484848484848485
27,2,33,30,0.9090909090909091
28,3,33,31,0.9393939393939394
29,4,33,30,0.9090909090909091
30,5,33,31,0.9393939393939394
31,6,33,31,0.9393939393939394
32,7,33,30,0.9090909090909091
33,8,33,31,0.9393939393939394
34,9,33,32,0.9696969696969697
